[2018-02-09T13:53:41.639] [INFO] BlockPoc - register an api:/putChainMsg
[2018-02-09T13:53:41.666] [INFO] BlockPoc - register an api:/replyMsg
[2018-02-09T13:53:41.679] [INFO] BlockPoc - Server init success.Start running ...
[2018-02-09T13:53:41.690] [ERROR] BlockPoc - uncaught exception: ReferenceError: ServerConfig is not defined
    at runServer (/Users/apple/program/poc_2018_02/app.js:42:59)
    at /Users/apple/program/poc_2018_02/app.js:87:5
    at /Users/apple/program/poc_2018_02/app.js:23:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3874:9
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:473:16
    at replenish (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:993:25)
    at iterateeCallback (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:983:17)
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:958:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3871:13
    at /Users/apple/program/poc_2018_02/app.js:16:13
[2018-02-09T13:53:41.791] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.792] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.792] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.793] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.795] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.809] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.810] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.811] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.811] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.812] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.812] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.813] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.813] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.814] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.816] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.816] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.817] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.817] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.818] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.818] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.819] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.819] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.820] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.821] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.822] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.822] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.823] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.824] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.824] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.825] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.825] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.826] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.827] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.828] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.828] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.829] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.830] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.830] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.831] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.832] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.832] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.833] [INFO] BlockPoc - 退出前处理 0 undefined
